Svarta Malin
Kapten Enben
Kapten Tvåben
Kapten Träben
Kapten Modig
Kapten Blodig
Kapten Frodig
Kapten Styrbord
Kapten Babord
Kapten Kuling
Kapten Wennblad
Kapten Fuling
Kapten Söder
Kapten Wester
Kapten Öster
Kapten Bister
Kapten Buster
Kapten Akter
Kapten Nykter
Kapten Sillben
Kapten Bordsben
Kapten Skenben
Kapten Nackben
Kapten Barnsben
Kapten Ellen
Kapten Dellen
Kapten Enock
Kapten Rånock
Kapten Dönick
Kapten Ryter
Kapten Skriker
Kapten Döver
Kapten Hjärter
Löjtnant Spader
Kapten Klöver
Kapten Svartskägg
Kapten Blåskägg
Kapten Rödskägg
Kapten Rötägg
Kapten Lösskägg
Kapten Orre
Kapten Hurring
Kapten Råsop
Kapten Erland
Kapten Kosing
Kapten Rosing
Kapten Krasse
Kapten Herman
Kapten Wedholm
Tjocka Lasse
Kapten Svensson
Kapten Plåthorn
Kapten Platen
Kapten Nilsson – Piraten
Kapten Prygel
Kapten Dunka
Kapten Banka
Kapten Planka
Katten Felix
Kalle Anka
